nazev;tag;proces;kategorie;ulice;cp;psc;kontakt
Campus Square;domacnost;opravit;oprava obuvi;Palachovo náměstí;2;62500;
Rosomák a syn - PC bazar, likvidace elektroodpadu;domacnost;nakoupit udržitelně;bazar;Bratislavská;;60151;http://www.vykupelektra.cz/
Genesis v IBC;textil;nakoupit udržitelně;second hand;Příkop;;60151;https://www.genesis-eshop.cz/
Textil House ul. Poštovská;textil;nakoupit udržitelně;second hand;Poštovská;;60151;https://textilehouse.cz/
Servis PC Brno PC21;domacnost;opravit;oprava spotřebičů;Příkop;;60151;https://servis-pc.webnode.cz/kontakt/
MacPodpora;domacnost;opravit;oprava spotřebičů;Příkop;;60151;
Retro recycle shop;domacnost;darovat;re-use centrum;Milady Horákové;1955/9;60200;https://www.facebook.com/RetroRecycleShop/
Retro-Use ul. Francouzská;domacnost;darovat;re-use centrum;Francouzská;851/36;60200;https://www.retro-use.cz/
Retro-Use ul. Orlí;domacnost;darovat;re-use centrum;Orlí;488/10;60200;https://www.retro-use.cz/
Bazar - vetešnictví u sedmi švábů;domacnost;nakoupit udržitelně;bazar;Staré Brno;8/8;60200;https://bazar-vetesnictvi-u-sedmi-svabu.business.site/
Bazar ve dvoře - nábytek, starožitnosti;domacnost;nakoupit udržitelně;bazar;Trnitá;199/61;60200;https://bazarkrenova.cz/
Eurotech Trade - prodej použitých počítačů;domacnost;nakoupit udržitelně;bazar;Grohova;104/6;60200;https://www.eurotech.cz/
Fotobazar Kounicova;domacnost;nakoupit udržitelně;bazar;Kounicova;280/31;60200;http://www.afoto.cz/obchod/Fotobazar-Kounicova-31--Brno
Nadační obchod Veronica Pekařská;domacnost;nakoupit udržitelně;bazar;Staré Brno;417/36;60200;https://nadace.veronica.cz/page/nadacni-obchody/oteviraci-doba-a-kontakty.php
Sport bazar;domacnost;nakoupit udržitelně;bazar;Antonínská;;60200;http://www.sportbazar.net/
Šuplig;domacnost;nakoupit udržitelně;bazar;Antonínská;;60200;https://llp.cz/suplig/
