nazev;tag;proces;kategorie ;ulice;cp;psc;majitel ;vyvoz
kontejner na textil ;textil;darovat;kontejner;Dostálova;70;60200;SAKO;
kontejner na textil ;textil;darovat;kontejner;Čápkova;32;60200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Preslova;119;60200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Čápkova;32;60200;SAKO;2x týdně
kontejner na textil ;textil;darovat;kontejner;Údolní;599;60200;SAKO;2x týdně
kontejner na textil ;textil;darovat;kontejner;Pražákova;360;60200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;náměstí Míru;672;60200;jiný;1x týdně
kontejner na textil ;textil;darovat;kontejner;Šmejkalova;2102;60200;SAKO;
kontejner na textil ;textil;darovat;kontejner;Tkalcovská;904;60200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Veletržní;674;60300;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Herčíkova;2654;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Tererova;1862;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Božetěchova;2617;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;U Červeného mlýna;64;61200;SAKO;2x týdně
kontejner na textil ;textil;darovat;kontejner;Mánesova;2611;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Högrova;2892;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Skácelova;2681;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Palackého třída;2980;61200;SAKO;1x14 sudý
kontejner na textil ;textil;darovat;kontejner;Myslínova;1909;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Pešinova;2518;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Rostislavovo náměstí;213;61200;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Chodská;2819;61200;fyzická osoba;1x týdně
kontejner na textil ;textil;darovat;kontejner;náměstí SNP;1139;61300;SAKO;2x týdně
kontejner na textil ;textil;darovat;kontejner;Bieblova;2014;61300;SAKO;2x týdně
kontejner na textil ;textil;darovat;kontejner;Mlýnské nábřeží;330;61400;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Fryčajova;537;61400;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Vrbí;680;61400;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Hamry;984;61400;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Žarošická;4292;61400;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Jana Svobody;923;61400;SAKO;1x14 sudý
kontejner na textil ;textil;darovat;kontejner;Dolnopolní;589;61400;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Jarní;864;61400;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Slaměníkova;1049;61400;SAKO;
kontejner na textil ;textil;darovat;kontejner;Skopalíkova;3766;61500;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Kosmákova;1050;61500;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Svatoplukova;3967;61500;SAKO;2x týdně
kontejner na textil ;textil;darovat;kontejner;Nopova;2932;61500;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Viniční;2358;61500;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Viniční;1491;61500;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Lazaretní;4298;61500;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Klíny;2547;61500;SAKO;2x týdně
kontejner na textil ;textil;darovat;kontejner;Kubánská;2398;61600;SAKO;
kontejner na textil ;textil;darovat;kontejner;Korejská;2008;61600;SAKO;
kontejner na textil ;textil;darovat;kontejner;Korejská;3082;61600;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Sochorova;3232;61600;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Přívrat;1967;61600;SAKO;2x týdně
kontejner na textil ;textil;darovat;kontejner;Stránského;3137;61600;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Vychodilova;2575;61600;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Horova;1654;61600;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Sochorova;3232;61600;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Za školou;670;61700;SAKO;1x týdně
kontejner na textil ;textil;darovat;kontejner;Za mostem;631;61700;SAKO;1x týdně
