nazev;tag;proces;kategorie;ulice;cp;psc;kontakt;ico
ADRA obchod;textil;darovat;nezísková organizace;Lidická;;60200;420 733 598 494;61388122
ADRA obchod;potraviny;darovat;nezísková organizace;Lidická;;60200;420 733 598 494;61388122
Nadační fond Kryštůfek;textil;darovat;nezísková organizace;Vlněna;526/3;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=3038637;3038637
NADACE ŠŤASTNÉ DÍTĚ;textil;darovat;nezísková organizace;Hlávkova;643/3;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=25530631;25530631
Nadační fond NINIVE;textil;darovat;nezísková organizace;Dominikánské náměstí;656/2;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26940311;26940311
Mateřská centra Brno, nadační fond;textil;darovat;nezísková organizace;Příkop;;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26969963;26969963
Nadační fond Zdraví a vzdělání;textil;darovat;nezísková organizace;Lidická;716/73;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26973367;26973367
Nadační fond Emil;textil;darovat;nezísková organizace;Malinovského náměstí;603/4;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=28356098;28356098
Nadační fond CHARITY POINT;textil;darovat;nezísková organizace;Údolní;527/27;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=28271963;28271963
Nadační fond ORIEL;textil;darovat;nezísková organizace;Příční;114/4B;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=29287791;29287791
Sociální nadační fond města Brna a Jihomoravského kraje;textil;darovat;nezísková organizace;Mečová;368/5;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=60554410;60554410
Nadační fond Energetika - pomoc v nouzi;textil;darovat;nezísková organizace;Cejl;512/44A;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=65353137;65353137
Centrum sociálních služeb Josefa Korbela;textil;darovat;nezísková organizace;Mlýnská;25;60200;420 543 245 494;
Centrum sociálních služeb Staňkova;textil;darovat;nezísková organizace;Staňkova;4;60200;420 737 215 425;
ADRA obchod;domacnost ;darovat;nezísková organizace;Lidická;;60200;420 733 598 494;61388122
Nadační fond Kryštůfek;domacnost ;darovat;nezísková organizace;;526/3;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=3038637;3038637
NADACE ŠŤASTNÉ DÍTĚ;domacnost ;darovat;nezísková organizace;;643/3;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=25530631;25530631
Nadační fond NINIVE;domacnost ;darovat;nezísková organizace;Dominikánské náměstí;;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26940311;26940311
Mateřská centra Brno, nadační fond;domacnost ;darovat;nezísková organizace;Příkop;;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26969963;26969963
Nadační fond Zdraví a vzdělání;domacnost ;darovat;nezísková organizace;;716/73;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26973367;26973367
Nadační fond Emil;domacnost ;darovat;nezísková organizace;Malinovského náměstí;;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=28356098;28356098
Nadační fond CHARITY POINT;domacnost ;darovat;nezísková organizace;;527/27;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=28271963;28271963
Nadační fond ORIEL;domacnost ;darovat;nezísková organizace;;114/4B;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=29287791;29287791
Sociální nadační fond města Brna a Jihomoravského kraje;domacnost ;darovat;nezísková organizace;;368/5;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=60554410;60554410
Nadační fond Energetika - pomoc v nouzi;domacnost ;darovat;nezísková organizace;;512/44A;60200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=65353137;65353137
Centrum sociálních služeb Josefa Korbela;potraviny;darovat;nezísková organizace;Mlýnská;25;60200;420 543 245 494;
Centrum sociálních služeb Staňkova;potraviny;darovat;nezísková organizace;Staňkova;4;60200;420 737 215 425;
Nadační fond Kociánka;textil;darovat;nezísková organizace;Kociánka;93/2;61200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=62158864;62158864
Nadační fond Kociánka;domacnost ;darovat;nezísková organizace;;93/2;61200;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=62158864;62158864
BLUEPOINT, nadační fond;textil;darovat;nezísková organizace;Makovského náměstí;3147/2;61600;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=29363101;29363101
Nadace přátel Dona Bosca v Brně;textil;darovat;nezísková organizace;Foerstrova;3088/2;61600;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=62156403;62156403
BLUEPOINT, nadační fond;domacnost ;darovat;nezísková organizace;Makovského náměstí;;61600;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=29363101;29363101
Nadace přátel Dona Bosca v Brně;domacnost ;darovat;nezísková organizace;;3088/2;61600;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=62156403;62156403
Nadační fond PETLICE;textil;darovat;nezísková organizace;Staré náměstí;;61900;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26950031;26950031
Nadační fond PETLICE;domacnost ;darovat;nezísková organizace;Staré náměstí;;61900;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26950031;26950031
SLYŠÍM OČIMA,nadační fond;textil;darovat;nezísková organizace;Novoměstská;;62100;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26240475;26240475
Nadační fond MENTA;textil;darovat;nezísková organizace;Terezy Novákové;;62100;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=49465325;49465325
SLYŠÍM OČIMA,nadační fond;domacnost ;darovat;nezísková organizace;Novoměstská;;62100;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26240475;26240475
Nadační fond MENTA;domacnost ;darovat;nezísková organizace;Terezy Novákové;;62100;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=49465325;49465325
Nadační fond Gemáček & Javorníček;textil;darovat;nezísková organizace;Mendlovo náměstí;;62300;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26297809;26297809
Nadační fond Gemáček & Javorníček;domacnost ;darovat;nezísková organizace;Mendlovo nám;;62300;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26297809;26297809
SUN foundation, nadační fond;textil;darovat;nezísková organizace;Nad Lískami;1306/12;62400;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=28340922;28340922
SUN foundation, nadační fond;domacnost ;darovat;nezísková organizace;Nad Lískami;;62400;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=28340922;28340922
Česká myelomová skupina , nadační fond;textil;darovat;nezísková organizace;Kamenice;753/5;62500;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26266148;26266148
Česká myelomová skupina , nadační fond;domacnost ;darovat;nezísková organizace;;;62500;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26266148;26266148
Nadační fond NIKÉ;textil;darovat;nezísková organizace;Koutného;2268/1;62800;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26942879;26942879
Nadace pro radost;textil;darovat;nezísková organizace;Horníkova;2533/34a;62800;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=44994621;44994621
Nadační fond NIKÉ;domacnost ;darovat;nezísková organizace;;2268/1;62800;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26942879;26942879
Nadace pro radost;domacnost ;darovat;nezísková organizace;;2533/34a;62800;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=44994621;44994621
Karasova Duhová nadace v likvidaci;textil;darovat;nezísková organizace;Kluchova;40/59;63400;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26892006;26892006
Karasova Duhová nadace v likvidaci;domacnost ;darovat;nezísková organizace;;40/59;63400;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=26892006;26892006
Nadace FONS SALUTIS;textil;darovat;nezísková organizace;Renneská třída;390/9;63900;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=27730077;27730077
Nadace FONS SALUTIS;domacnost ;darovat;nezísková organizace;Renneská třída;;63900;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=27730077;27730077
"Nadační fond ""SLUNEČNICE""";textil;darovat;nezísková organizace;Chrlické náměstí;;64300;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=66596785;66596785
"Nadační fond ""SLUNEČNICE""";domacnost ;darovat;nezísková organizace;Chrlické náměstí;;64300;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=66596785;66596785
Pro dětský smích - nadační fond;textil;darovat;nezísková organizace;Dlouhé vrchy;84/2;64400;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=1454676;1454676
Nadační fond Atýsek;textil;darovat;nezísková organizace;Ve vilkách;126/41;64400;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=29295980;29295980
Pro dětský smích - nadační fond;domacnost ;darovat;nezísková organizace;Dlouhé vrchy;;64400;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=1454676;1454676
Nadační fond Atýsek;domacnost ;darovat;nezísková organizace;Ve vilkách;;64400;https://or.justice.cz/ias/ui/rejstrik-$firma?ico=29295980;29295980
Nadace Veronica;textil;darovat;nezísková organizace;Pekařská;38;60200;770 113 204 ;44992742
Nadace Veronica;textil;darovat;nezísková organizace;Palackého;25;;770 113 204 ;44992742
Ženský vzdělávací ústav Vesna;domacnost ;darovat;nezísková organizace;Údolní;;60200;https://polekvesna.cz;
Ženský vzdělávací ústav Vesna;textil;darovat;nezísková organizace;Údolní;;60200;https://polekvesna.cz;
Nadace Veronica;domacnost ;darovat;nezísková organizace;Pekařská;38;60200;420 770 113 204 ;44992742
Nadace Veronica;domacnost ;darovat;nezísková organizace;Palackého;25;;420 770 113 204 ;44992742
Nadace Veronica;potraviny;darovat;nezísková organizace;Pekařská;38;60200;420 770 113 204 ;44992742
Nadace Veronica;potraviny;darovat;nezísková organizace;Palackého;25;;420770 113 204 ;44992742
